Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
1539000	1539	0.114271036270327	0.223437742558382	6.0892715055571e-05	13464257	1538574.6	848009.8	0.0499244247995858
1540000	1540	0.114295054217154	0.223432354649473	6.09496655781457e-05	13438459	1535949.4	846426.4	0.0499220171042078
1541000	1541	0.114076957105344	0.223067094272299	6.08539372785803e-05	13436732	1532821.5	843457	0.0497589285470866
1542000	1542	0.114128676705114	0.223055744569832	6.08914678184829e-05	13418808	1531470.8	842422.3	0.049753865185602
1543000	1543	0.114360880778362	0.223441451438005	6.09812732028994e-05	13425625	1535366.3	845874.7	0.0499260822207223
1544000	1544	0.114178809318419	0.223108857891326	6.09365001999696e-05	13405364	1530608.5	842049.4	0.0497775624695718
1545000	1545	0.114402355843608	0.223516685395848	6.1068138170342e-05	13396475	1532588.3	844615.7	0.0499597086503464
1546000	1546	0.114476284522355	0.223583677764256	6.10514106668008e-05	13411853	1535339.1	846213.9	0.0499896609625906
1547000	1547	0.114562481864571	0.223734335505096	6.11135589535983e-05	13402633	1535438.9	846800	0.0500570528839067
1548000	1548	0.114627613475884	0.223730293716022	6.11794814288421e-05	13373282	1532947.4	845121	0.0500552443262573
1549000	1549	0.114501725374112	0.223530231074532	6.11996347085096e-05	13340585	1527520	841476.2	0.0499657642042336
1550000	1550	0.114970745170111	0.22431169657181	6.13281291919843e-05	13377791	1538054.6	849944.7	0.0503157372189238
1551000	1551	0.115116293454797	0.224498418669346	6.14717990529011e-05	13337509	1535364.6	848949.8	0.0503995399850371
1552000	1552	0.114562931326376	0.223708519895188	6.11609335778754e-05	13378790	1532713.4	845140.4	0.0500455018736959
1553000	1553	0.114571833072078	0.223752461617905	6.11827228639343e-05	13374515	1532342.7	845160.6	0.0500651640800719
1554000	1554	0.114575766485617	0.223926899917838	6.11872332129399e-05	13393402	1534559.3	847412.1	0.0501432565068134
1555000	1555	0.114631970876954	0.223897122879711	6.12615025726538e-05	13357394	1531184.4	845127.8	0.0501299216338122
1556000	1556	0.114604125657391	0.224000860358856	6.12320416156988e-05	13382643	1533706.1	847261.7	0.0501763854415076
1557000	1557	0.115123064135774	0.224730917936196	6.15154893606503e-05	13346171	1536452.1	850915.9	0.0505039854764454
1558000	1558	0.114864224745376	0.224343651652068	6.12928951521194e-05	13396992	1538835.1	851028.7	0.0503300740365843
1559000	1559	0.115166495929575	0.224859519687063	6.14566341297961e-05	13387054	1541740.1	854430.4	0.0505618035938966
1560000	1560	0.114763090755552	0.224294377502884	6.12504079494841e-05	13409692	1538937.7	851227.6	0.0503079677794061
1561000	1561	0.11461388578512	0.224002939467546	6.11573739417847e-05	13415590	1537612.9	849390.1	0.0501773168901012
1562000	1562	0.114443590147106	0.223747412382469	6.10043129637282e-05	13452251	1539523.9	849647.4	0.0500629045478504
1563000	1563	0.11442537843696	0.223747644248431	6.11727090930225e-05	13378318	1530819.1	844923.4	0.0500630083067223
1564000	1564	0.114568676210282	0.224028435147336	6.12413686693576e-05	13381861	1533142.1	847268.8	0.0501887397545639
