Chromosome	Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
4H	992000	992	0.165534375269933	0.273079176658378	0.000184612395194433	2188041	362196	223123	0.0745722367244175
4H	993000	993	0.164969291092682	0.272737392492511	0.00018428858457563	2190244	361323	222530	0.074385685263614
4H	994000	994	0.164310137568744	0.272037192121883	0.00018374202736468	2191995	360167	221396	0.0740042338975582
4H	995000	995	0.165481698018452	0.272696743586956	0.000184761439416551	2178398	360485	221647	0.0743635139629298
4H	996000	996	0.165269941887287	0.272736863768289	0.000185061181866086	2171986	358964	220890	0.0743853968581621
4H	997000	997	0.165030278952167	0.272332819481581	0.000184563294599738	2177255	359313	220774	0.0741651645667871
4H	998000	998	0.165339258513389	0.27273848039251	0.000184852267714797	2176924	359931	221444	0.0743862786868157
4H	999000	999	0.165948459599067	0.272998314399224	0.000185323886549579	2169987	360106	221484	0.0745280796648176
4H	1000000	1000	0.166491764887824	0.273489320241966	0.000185543475259855	2172648	361728	222731	0.0747964082864124
4H	1001000	1001	0.165273330186572	0.272418470576473	0.000184504265529082	2180019	360299	221331	0.0742118231112244
4H	1002000	1002	0.165635406006761	0.272690286514938	0.000185100538368578	2170321	359482	220928	0.0743599923595991
4H	1003000	1003	0.166519966087639	0.273585546393687	0.000186114166906232	2160864	359827	221657	0.0748490511955325
4H	1004000	1004	0.166272722949134	0.273265033605149	0.000185688160411762	2165707	360098	221596	0.0746737785912235
4H	1005000	1005	0.165439219840542	0.272620098901396	0.000185057073572796	2170223	359040	220694	0.0743217183250071
4H	1006000	1006	0.165516877298163	0.273081536802921	0.000185023339179157	2178370	360557	222127	0.0745735257426453
4H	1008000	1008	0.166494198626595	0.273443144219471	0.000186228949421899	2155955	358954	220967	0.0747711531206307
4H	1009000	1009	0.165246631172715	0.272316056912352	0.000185175250831027	2162622	357366	219425	0.0741560348522911
4H	1010000	1010	0.165447265054195	0.272645370794582	0.000184819727742695	2176204	360047	221338	0.0743354982157151
4H	1011000	1011	0.165085187738525	0.272408551862699	0.000184185838912849	2187404	361108	221933	0.0742064191279328
4H	1012000	1012	0.164569919584945	0.271845242873554	0.000183810300226211	2187277	359960	220878	0.0738998360729817
4H	1013000	1013	0.165451830590472	0.272465782294128	0.000184910193775921	2171212	359231	220621	0.0742376025211514
4H	1014000	1014	0.166816178998711	0.273526383521275	0.000185569858591901	2172619	362428	223007	0.0748166824822278
4H	1015000	1015	0.166626124805849	0.273075376103559	0.000185525964153783	2166485	360993	221706	0.0745701610341
4H	1016000	1016	0.166146507459895	0.27254200457538	0.000184543749704	2181063	362376	222215	0.0742791442579665
4H	1017000	1017	0.166746173420593	0.273105447482476	0.000185411993969991	2169627	361777	222150	0.0745865854446033
4H	1018000	1018	0.16629379245869	0.272621463986692	0.000184646238536718	2179913	362506	222299	0.0743224626262471
4H	1019000	1019	0.166320442677775	0.272990577216322	0.000184823380416563	2181632	362850	222933	0.0745238552489005
4H	1020000	1020	0.166808575549146	0.273121233652744	0.000185691090931647	2163360	360867	221572	0.0745952082719965
4H	1021000	1021	0.166282141412541	0.272602732249136	0.000185027424377601	2170642	360939	221323	0.0743122496296944
4H	1022000	1022	0.165992293627302	0.272714752753769	0.000185335031784485	2165221	359410	220694	0.0743733363695491
4H	1023000	1023	0.16621814979277	0.272686335754394	0.000185408480588805	2163055	359539	220602	0.0743578377071583
4H	1024000	1024	0.16607536358105	0.27270985661424	0.000185220958453341	2167811	360020	221012	0.0743706658945592
4H	1025000	1025	0.165753655575432	0.27285409804156	0.000185174067241761	2171204	359885	221297	0.0744493588180732
4H	1026000	1026	0.16569814994952	0.272647681784917	0.000185078611383892	2170157	359591	220906	0.0743367583826895
4H	1027000	1027	0.165566816204428	0.272715790465661	0.000185397483058197	2163779	358250	220243	0.0743739023693103
4H	1028000	1028	0.164675482637967	0.272068374563915	0.000184252699466339	2180361	359052	220520	0.0740212004378508
4H	1029000	1029	0.164762425704392	0.272255142247863	0.000184196629001144	2184685	359954	221242	0.0741228624804039
4H	1030000	1030	0.164383981511005	0.271772711334344	0.000183817067974412	2185949	359335	220524	0.0738604066260206
4H	1031000	1031	0.163965740985774	0.271491139352821	0.000183070663154652	2199246	360601	221227	0.0737074387470928
4H	1032000	1032	0.164912804187669	0.272210146283117	0.000184149455563382	2185082	360348	221337	0.0740983637394761
4H	1033000	1033	0.164427776060806	0.271627405502677	0.000183933774959739	2180842	358591	219868	0.0737814474201155
4H	1034000	1034	0.165200382950726	0.272592394283018	0.000184449792398776	2184093	360813	221899	0.0743066134209485
4H	1035000	1035	0.165102539272354	0.272413605830857	0.000184199445683753	2187162	361106	221927	0.0742091726417693
4H	1036000	1036	0.164771307201967	0.272137449476527	0.000184628916874555	2172587	357980	219884	0.0740587914075891
4H	1037000	1037	0.164936868640538	0.272169361280951	0.00018432721987447	2180216	359598	220813	0.0740761612200808
4H	1038000	1038	0.164116958807341	0.271398822487869	0.000183622363363513	2184564	358524	219749	0.0736573208478016
4H	1039000	1039	0.164255203631451	0.271358265572612	0.000183137684416891	2195486	360620	220899	0.0736353082945763
4H	1040000	1040	0.163358371519274	0.271151313670458	0.000182134717618279	2216348	362059	222098	0.0735230349052149
4H	1041000	1041	0.163151788952176	0.270679308501218	0.000181788798230069	2217052	361716	221452	0.0732672880506974
4H	1042000	1042	0.163579443929531	0.2710837409627	0.000182187339100925	2213964	362159	221938	0.073486394614332
4H	1043000	1043	0.164628064728076	0.271761991277304	0.00018331574549625	2197748	361811	221878	0.0738545799030053
4H	1044000	1044	0.164400861986277	0.271621862443944	0.00018357178664363	2189362	359933	220701	0.0737784361575168
4H	1045000	1045	0.164167924622464	0.271491788511035	0.000183704814571487	2184099	358559	219849	0.0737077912289204
4H	1046000	1046	0.164309667200007	0.271399481317919	0.000183632013791756	2184345	358909	219866	0.0736576784596355
4H	1047000	1047	0.163537908772903	0.270925358503235	0.000183011810486199	2191498	358393	219468	0.0734005498801062
4H	1048000	1048	0.162942099475766	0.27047504598709	0.00018243456916277	2198063	358157	219162	0.0731567505017182
4H	1050000	1050	0.162851575103862	0.270416995049507	0.000182553072844203	2194268	357340	218650	0.073125351211605
4H	1051000	1051	0.163288475396113	0.271113826470746	0.000182918525419047	2196787	358710	220043	0.0735027069036099
4H	1052000	1052	0.162287943255336	0.270425478422545	0.000182103790915111	2205247	357885	219350	0.0731299393800622
4H	1053000	1053	0.161856971033559	0.269711523972356	0.000181911093287255	2198268	355805	217501	0.0727443061634908
4H	1054000	1054	0.162518655008605	0.270360648596393	0.000182451727320515	2195791	356857	218497	0.0730948803094622
4H	1055000	1055	0.162174077654591	0.270303923650697	0.000182231454792455	2200179	356812	218620	0.0730642111409618
4H	1056000	1056	0.16184509986541	0.269751123912449	0.000181865715977357	2200011	356061	217712	0.0727656688520295
4H	1057000	1057	0.161501894410445	0.26943770829372	0.000181517789193168	2203324	355841	217423	0.0725966786505719
4H	1058000	1058	0.161462956879928	0.269304856159148	0.000181147738656999	2210154	356858	217911	0.0725251055508995
4H	1059000	1059	0.161277626017611	0.269236131865804	0.000180883533582104	2215484	357308	218222	0.0724880947020604
4H	1060000	1060	0.161158085483518	0.269479609397843	0.000180679883457186	2224499	358496	219316	0.0726192598812141
4H	1061000	1061	0.160633124068389	0.268737116860802	0.000179689225655727	2236718	359291	219249	0.0722196379786564
4H	1062000	1062	0.161937607424308	0.270029149307047	0.000180751796484459	2231804	361413	221260	0.0729157414754874
4H	1064000	1064	0.162258929072049	0.27011682074051	0.000180908955471112	2229375	361736	221357	0.0729630968469608
4H	1065000	1065	0.162695256434117	0.270544121317393	0.000181615411188395	2219069	361032	221161	0.0731941215794001
4H	1066000	1066	0.163395893221213	0.270985997361267	0.00018244157781521	2206206	360485	220911	0.0734334107658809
4H	1067000	1067	0.162886860774125	0.270642898468527	0.000182287443477301	2204346	359059	219949	0.0732475784914452
4H	1068000	1068	0.163343512473741	0.271060165238517	0.000183038196969735	2193047	358220	219644	0.0734736131791323
4H	1069000	1069	0.163158038270988	0.271223475228238	0.00018285467395486	2200100	358964	220412	0.0735621735148826
4H	1070000	1070	0.163321130427564	0.270852630871438	0.000182926125941758	2192374	358061	219314	0.0733611476499794
4H	1071000	1071	0.163531497729327	0.271060232033327	0.000183355053558541	2185475	357394	219020	0.073473649389961
4H	1072000	1072	0.163537264870734	0.271029417522383	0.000183525226027178	2180928	356663	218532	0.0734569451625223
4H	1073000	1073	0.162797182372256	0.270380731978146	0.000182656122622288	2191205	356722	218263	0.0731057402250378
4H	1074000	1074	0.163530127501742	0.271141641859108	0.000183797007854485	2176284	355888	218194	0.0735177899500526
4H	1076000	1076	0.164082727210336	0.271487819086807	0.000184253835139688	2171039	356230	218469	0.0737056359125111
4H	1077000	1077	0.163786937838137	0.271124352471216	0.000183637974914517	2179777	357019	218707	0.073508414502936
4H	1078000	1078	0.164010079499236	0.271383245214436	0.000184330272894604	2167568	355503	217945	0.0736488657831187
4H	1079000	1079	0.164102339901194	0.271713352575629	0.000184325582416873	2172955	356587	218942	0.0738281459678883
4H	1080000	1080	0.163136309709876	0.270830840779827	0.000183087284607028	2188164	356969	218735	0.073349344317508
4H	1081000	1081	0.163556974721867	0.271498657258661	0.000184160233305068	2173420	355478	218347	0.0737115208932559
4H	1082000	1082	0.163957527918368	0.271739083775018	0.000184316999128672	2173569	356373	218931	0.0738421296508863
4H	1083000	1083	0.163227619797484	0.271199199945186	0.000183489151089169	2184520	356574	218872	0.0735490060509091
4H	1084000	1084	0.163046660701182	0.270978125920537	0.000183281358454935	2185908	356405	218620	0.0734291447274063
4H	1085000	1085	0.162206712023889	0.270199562325992	0.000182454480466139	2193109	355737	217817	0.0730078034811574
4H	1086000	1086	0.162432997813253	0.270710931954385	0.000182795494549268	2193212	356250	218595	0.0732844086796118
4H	1087000	1087	0.162029008409671	0.270178684456407	0.000182590555718321	2189503	354763	217308	0.0729965215345948
4H	1088000	1088	0.161748772342816	0.269799754391909	0.00018180964459267	2202162	356197	217914	0.0727919074699346
4H	1089000	1089	0.162171859116187	0.270502030775072	0.000182065001651246	2207436	357984	219576	0.0731713486534381
4H	1090000	1090	0.162575045769359	0.270732961185173	0.000182930599514332	2190330	356093	218435	0.0732963362720922
4H	1091000	1091	0.163345421177388	0.271435839105949	0.000184042782211421	2175188	355307	218300	0.0736774147511506
4H	1092000	1092	0.164929349727284	0.272732367219005	0.000185400612482815	2163969	356902	219826	0.0743829441288822
4H	1093000	1093	0.164326235875379	0.271898788112531	0.000185107415869257	2157580	354547	217769	0.0739289509770632
