trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
starch,HORVU.MOREX.r3.2HG0179650.vcf.gz,HORVU.MOREX.r3.2HG0179650,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179660.vcf.gz,HORVU.MOREX.r3.2HG0179660,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
starch,HORVU.MOREX.r3.2HG0179660.vcf.gz,HORVU.MOREX.r3.2HG0179660,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
starch,HORVU.MOREX.r3.2HG0179660.vcf.gz,HORVU.MOREX.r3.2HG0179660,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179670.vcf.gz,HORVU.MOREX.r3.2HG0179670,3,0.8,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179680.vcf.gz,HORVU.MOREX.r3.2HG0179680,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179680.vcf.gz,HORVU.MOREX.r3.2HG0179680,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179680.vcf.gz,HORVU.MOREX.r3.2HG0179680,3,,crosshap,crosshap_failed,CrossHap failed: object 'Varfile' not found
starch,HORVU.MOREX.r3.2HG0179690.vcf.gz,HORVU.MOREX.r3.2HG0179690,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179690.vcf.gz,HORVU.MOREX.r3.2HG0179690,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179690.vcf.gz,HORVU.MOREX.r3.2HG0179690,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179690.vcf.gz,HORVU.MOREX.r3.2HG0179690,3,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179690.vcf.gz,HORVU.MOREX.r3.2HG0179690,3,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
starch,HORVU.MOREX.r3.2HG0179700.vcf.gz,HORVU.MOREX.r3.2HG0179700,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
starch,HORVU.MOREX.r3.2HG0179700.vcf.gz,HORVU.MOREX.r3.2HG0179700,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
starch,HORVU.MOREX.r3.2HG0179700.vcf.gz,HORVU.MOREX.r3.2HG0179700,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
starch,HORVU.MOREX.r3.2HG0179740.vcf.gz,HORVU.MOREX.r3.2HG0179740,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
