Bin	Sum_R2	SumSq_R2	N_Pairs
913000	103891	46179.6	1356643
914000	103218	45409.6	1353068
915000	103146	45785.2	1346078
917000	104408	46236.8	1369249
918000	104228	46013.7	1365472
919000	103860	45676.3	1361317
920000	103356	45543.7	1362445
921000	104042	45687.1	1368157
922000	104328	45613.2	1380341
923000	104034	45396.3	1384528
924000	104514	45614	1394793
925000	105276	46254	1392126
926000	105125	46171.1	1388471
927000	104562	46098.5	1381589
928000	105420	46518.9	1398574
929000	104245	45630.2	1383841
930000	104328	45454.3	1388317
931000	104037	45396.5	1386428
932000	104281	45631.5	1381831
933000	103818	45284.7	1381684
934000	104136	45338	1386121
935000	103248	45040.6	1383071
936000	102935	45200.3	1374088
937000	103699	45667.6	1374403
938000	103217	45261.7	1373608
939000	104243	45726.1	1388793
940000	103506	44974.2	1389950
941000	102973	44739.4	1384207
942000	103308	45042.1	1385368
943000	103623	45558	1385873
944000	103444	45267.4	1383515
945000	102938	44961.7	1380071
946000	103152	45303.5	1377005
947000	102842	45065.3	1371084
949000	103687	45464.4	1375371
950000	103499	45465.3	1370896
951000	102330	45033.4	1355108
952000	102911	45274.8	1369878
953000	102753	45208.3	1372245
954000	102419	44935	1369568
955000	102820	45336.8	1365028
956000	101999	45123.2	1349470
957000	102057	45129.5	1349464
958000	102538	45030.8	1361187
959000	101729	44528.6	1361473
961000	102549	44988.4	1368372
962000	102801	44825.4	1380233
963000	101944	44790.2	1355267
964000	102258	44853.1	1360620
965000	101243	44487	1351199
966000	100775	44236	1346157
967000	100430	44014.9	1345673
968000	100782	44274.5	1340563
969000	100224	44081.2	1332651
970000	101302	44704	1349668
971000	101159	44407.2	1354307
972000	101475	44606.1	1363912
973000	101810	44658.2	1362376
974000	101153	44228.8	1360315
975000	100760	44028.2	1357851
976000	101203	44484.4	1350517
977000	102055	44850	1360105
978000	101020	44321.6	1352281
979000	100997	44112.1	1360467
980000	101272	44393.3	1362337
981000	101093	44279.8	1361166
982000	101353	44530	1355528
983000	101238	44351.2	1358683
984000	101415	44367.8	1361349
985000	101874	44572.4	1363957
986000	100798	44182.9	1351494
987000	100847	44447.2	1348261
988000	100081	43557.2	1356080
989000	101038	44271.7	1361245
990000	100893	44236.6	1359795
991000	101186	44481.4	1353858
992000	100037	44017.5	1345319
993000	99915.7	43759.9	1346862
994000	99640.1	43883.8	1336079
995000	100147	44006.4	1343463
996000	100984	44468.7	1354316
997000	99957.8	43782.5	1343263
998000	99689.9	43436.3	1351202
999000	101036	43859.8	1371413
1000000	100559	43753.6	1370871
1001000	101212	43976.6	1370786
1002000	101272	44074.2	1380368
1003000	101479	44101.4	1381460
1004000	100920	43500.4	1380463
1005000	101065	43674.4	1371803
